                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
53                        陈大明;赵晓勤;缪有刚;毛开云;熊燕                                                                                                                                                     中国科学院上海生命科学信息中心中国科学院上海营养与健康研究所;上海图书馆(上海科学技术情报研究所);              中国临床医学         冠状病毒,严重急性呼吸综合征,中东呼吸综合征,新型冠状病毒肺炎,文献计量,引文分析,知识图谱,全球      Journal Article                                                         全球冠状病毒研究态势分析及其启示  2020
54                                   肖海林;董慈慈                                                                                                                                                                                             中央财经大学商学院;                经济管理                                      突破性技术创新,文献计量,现状,发展方向      Journal Article                                   突破性技术创新研究:现状与展望——基于SSCI和CSSCI期刊的文献计量分析  2020
55                     易行;白彩全;梁龙武;赵子聪;宋伟轩;张妍                                                                                                                                       山东大学经济研究院;中国科学院地理科学与资源研究所;浙江大学公共管理学院;中国科学院南京地理与湖泊研究所;西北大学经济管理学院;              自然资源学报                                国土生态修复,文献计量,网络分析,演进脉络,前沿进展      Journal Article                                                       国土生态修复研究的演进脉络与前沿进展  2020
56                           钟业喜;邵海雁;徐晨璐;冯兴华                                                                                                                                                                            江西师范大学地理与环境学院;东北师范大学地理科学学院;     江西师范大学学报(自然科学版)                            山水林田湖草,生命共同体,生态清洁小流域,文献计量,研究进展      Journal Article                                            基于文献计量分析的流域山水林田湖草生命共同体研究进展与展望  2020
57                                   管文玉;凌卫青                                                                                                                                                                                          同济大学CIMS研究中心;           计算机集成制造系统                         数字孪生,文献计量,知识图谱,Citespace,共现,高被引文献      Journal Article                                                   基于文献计量的数字孪生研究可视化知识图谱分析  2020
58                        李维安;郝臣;崔光耀;郑敏娜;孟乾坤                                                                                                                                                                                 南开大学中国公司治理研究院;南开大学商学院;             外国经济与管理                                公司治理,公司治理研究,内部治理,外部治理,文献计量      Journal Article                                                          公司治理研究40年：脉络与展望  2019
59                                       王庆涛                                                                                                                                                                                             华南理工大学图书馆;               新媒体研究                                          短视频,视频短片,科普,文献计量      Journal Article                       国内短视频科普领域研究现状分析及趋势思考——基于中国知网2005—2019年期刊数据的文献计量学分析  2019
60                    金菊良;陈鹏飞;陈梦璐;郦建强;徐翔宇;唱彤                                                                                                                                                     合肥工业大学土木与水利工程学院;合肥工业大学水资源与环境系统工程研究所;水利部水利水电规划设计总院;               水资源保护                           水资源承载力,文献计量可视化分析,知识图谱,VOSviewer      Journal Article                                                   基于知识图谱的水资源承载力研究的文献计量分析  2019
61                                 刘艳;王正荣;钱坤                                                                                                                                                                                            北京物资学院物流学院;              科技管理研究                                 绿色供应链,绿色物流,CiteSpace,文献计量      Journal Article                              我国绿色供应链研究的演变与新兴趋势——基于CSSCI文献的CiteSpace可视化分析  2019
62                                     魏娜;王焕                                                                                                                                                                           中国人民大学公共管理学院;中国人民大学人文北京研究中心;              中国行政管理                                       志愿服务,文献计量,热点主题,对比分析      Journal Article                                  国内外志愿服务研究主题演进与热点比较研究——基于2008-2018年的数据分析  2019
