                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
404                                       王慧                                                                                                                                                                                                                                                         社会网络分析,学科热点,可视化,专家调查法,词频统计分析  Dissertation/Thesis                                                      社会网络分析在学科热点分析中的实证研究  2010
405                                  贺维平;范爱红                                                                                                                                                                                               清华大学图书馆;                情报杂志                                    一流大学建设,SCI论文,文献计量,科研评价      Journal Article                                                   国内外若干知名研究型大学SCI论文的比较研究  2010
406                                      汤建民                                                                                                                                                                                       浙江树人大学科学计量学研究中心;   浙江树人大学学报(人文社会科学版)                         教育学,科学计量学,论文统计,科研合作,CSSCI,社会网络分析法      Journal Article                             国内教育学科论文合著情况研究——1998—2007 CSSCI文献计量和作者合作图谱分析  2010
407                                      张宜平                                                                                                                                                                                             河南师范大学图书馆;            中国科技期刊研究                                            基金论文,自然科学,文献计量      Journal Article                                                         三种自然科学学报基金论文分析研究  2010
408                                  程郁缀;刘曙光                                                                                                                                                                                             北京大学学报编辑部;   陕西师范大学学报(哲学社会科学版)                                      论文质量,期刊质量,期刊影响力,期刊评价      Journal Article                                                          论文质量、期刊质量与期刊影响力  2010
409                                  陈国权;黄振威                                                                                                                                                                                            浙江大学公共管理学院;     浙江大学学报(人文社会科学版)                                     地方政府创新,热点主题,理论前瞻,文献计量      Journal Article                                                       地方政府创新研究的热点主题与理论前瞻  2010
410                                       方征                                                                                                                                                                                          华南师范大学教育科学学院;       西北师大学报(社会科学版)                                             小班化,现状评估,文献计量      Journal Article                                        我国小班化研究现状评估与展望——1998-2009年的文献计量分析  2010
411                          于秋红;白水平;栾玉杰;刘卫红                                                                                                                                                                                            邯郸市中心医院防保科;               护理学杂志                               临床路径,数据库,文献分析,文献计量,方法论,对照研究      Journal Article                                                          我国临床路径相关研究的文献回顾  2010
412                                  陈国权;黄振威                                                                                                                                                                                            浙江大学公共管理学院;  浙江大学学报(人文社会科学版)预印本                                     地方政府创新,热点主题,理论前瞻,文献计量      Journal Article                                                       地方政府创新研究的热点主题与理论前瞻  2010
413                                  赵庆龄;路文如                                                                                                                                                                             中国农业科学院农业信息研究所;北京联合大学商务学院;             环境科学与技术                               土壤重金属污染,文献计量,Web of Science      Journal Article                               土壤重金属污染研究回顾与展望——基于web of science数据库的文献计量分析  2010
414                              左亮亮;郭春侠;吴昌合                                                                                                                                                                                              安徽大学管理学院;                情报科学                                            知识转移,统计分析,文献计量      Journal Article                                                     近十年国内知识转移研究的文献计量实证分析  2010
415                         万勇;马廷灿;冯瑞华;黄健;潘懿                                                                                                                                                                                      中国科学院国家科学图书馆武汉分馆;                科学观察                                         石墨烯,制备,性质,应用,文献计量      Journal Article                                                              石墨烯国际发展态势分析  2010
416                                      陈祖香                                                                                                                                                                                                                                                                   科学计量学,知识图谱,构建流程,风能  Dissertation/Thesis                                                     面向科学计量分析的知识图谱构建与应用研究  2010
417                                      汤建民                                                                                                                                                                                       浙江树人大学科学计量学研究中心;                情报杂志                                卓越描绘,文献计量,科学知识图谱,教育研究,科学评价      Journal Article                                           基于文献计量的卓越科研机构描绘方法研究——以国内教育学科为例  2010
418                                  王立学;冷伏海                                                                                                                                                                                中国科学院国家科学图书馆;中国科学院研究生院;             情报理论与实践                                    研究前沿,同被引分析,文献耦合分析,共词分析      Journal Article                                                         简论研究前沿及其文献计量识别方法  2010
419                                       刘娅                                                                                                                                                                                           中国科学技术信息研究所;              中国科技论坛                            SCI论文,基础研究,国际合作,学科分布,地域分布,机构分布      Journal Article                                                  基于文献计量的我国基础研究领域国际合作态势分析  2010
420                                       陈颇                                                                                                                                                                                            重庆师范大学体育学院;              体育文化导刊                               体育原理,体育信息,体育类核心期刊,文献计量,统计分析      Journal Article                                                        我国中文体育类核心期刊评价指标分析  2010
421                                      汤建民                                                                                                                                                                                       浙江树人大学科学计量学研究中心;              中国高教研究                                高等教育,文献计量,共词分析,数据可视化,科学计量学      Journal Article                                       中国高教研究地图——基于CSSCI高教研究论文的计量分析和可视化识别  2010
422                               邢颖;孔红梅;刘天星                                                                                                                                                               中国科学院文献情报中心情报研究部;中国科学院生态环境研究中心《生态学报》编辑部;              生态环境学报                                     生态学,研究态势,文献计量,情报研究,中国      Journal Article                                                  基于SCI发文的中国生态学研究态势文献计量分析  2010
423                                刘云;刘文;叶选挺                                                                                                                                                                                         北京理工大学管理与经济学院;                科学观察                                     中美,SCI,合著论文,文献计量,合作网络      Journal Article                                                       基于SCI合著论文的中美合作机构分析  2010
424                                  伍若梅;孔悦凡                                                                                                                                                                                          东北师范大学传媒科学学院;              情报资料工作                                            文献计量,共词分析,共引分析      Journal Article                                                         共词分析与共引分析方法的比较研究  2010
425                                  邱均平;杨瑞仙                                                                                                                                                                                          武汉大学信息资源研究中心;                情报科学               ESI,临床医学,热门论文,文献计量,共被引,多维尺度分析,聚类分析,Pajek可视化      Journal Article                                             基于ESI的学科热门论文的计量研究——以临床医学学科为例  2010
426                                  王刚波;官建成                                                                                                                                                                               北京航空航天大学经济管理学院;复旦大学管理学院;               中国软科学                                     纳米科技,科技联系,学术型发明人,文献计量      Journal Article                                                 纳米科学与技术之间的联系:基于学术型发明人的分析  2009
427                                  邱均平;刘华华                                                                                                                                                                                          武汉大学信息资源研究中心;               图书馆论坛                              网络信息计量学,文献增长规律,领域年龄,活跃值,主题变化      Journal Article                                                    网络信息计量学的文献计量规律及发展现状研究  2009
428                             李文川;王旭;吴昊;倪霖                                                                                                                                                                  重庆大学机械工程学院;重庆大学贸易与行政学院;重庆大学经济与工商管理学院;                情报杂志                                       RFID,分类框架,内容分析,文献计量      Journal Article                                                基于内容分析法的国内RFID技术现状与发展趋势研究  2009
429                                  任红娟;张志强                                                                                                                                                                            中国科学院国家科学图书馆兰州分馆;中国科学院研究生院;                情报杂志                                         作者共被引,共词分析,科学知识图谱      Journal Article                                                        基于文献计量的科学知识图谱发展研究  2009
430                            李晓;陈春燕;郑家奎;唐莎                                                                                                                                                                  四川省农业科学院农业信息与农村经济研究所;四川省农业科学院水稻高粱研究所;              中国农业科学                                        超级稻,研究动态,发展趋势,文献计量      Journal Article                                                          基于文献计量学的超级稻研究动态  2009
431                                      廖胜姣                                                                                                                                                                                               嘉兴学院图书馆;             情报理论与实践                                          文献计量,情报学,知识图谱,分析      Journal Article                                                  基于TDA的情报学研究前沿知识图谱的绘制及分析  2009
432                                杨康;刘明政;张旭                                                                                                                                                                                  中国科学技术信息研究所;鲁东大学管理学院;                情报杂志                                   影响因子,期刊评价,文献计量,引文分析,SJR      Journal Article                                                      SJR指数研究及其与影响因子的比较分析  2009
433                               贺萍;骆有庆;路文如                                                                                                                                               北京林业大学省部共建森林培育与保护教育部重点实验室;中国科学院植物研究所;中国农业科学院《中国农业科学》编辑部;            北京林业大学学报                             Web of Science,有害生物,文献计量,科学影响      Journal Article                                                      全球林业外来有害生物研究的文献计量分析  2009
434                               赵微;徐建华;俞碧飏                                                                                                                                                                                        南开大学商学院信息资源管理系;               图书与情报                                          图书馆学,实证研究方法,文献计量      Journal Article                                                       近五年来图书馆学实证研究的回顾与分析  2009
435                                   马凤;武夷山                                                                                                                                                                                           中国科学技术信息研究所;              图书情报工作                                        文献计量,引用者,引用认同,实证分析      Journal Article                                                          引用认同——一个值得注意的概念  2009
436                                  林德明;刘则渊                                                                                                                                                                                         大连理工大学WISE实验室;               中国软科学                                地震预测预报,文献计量,引文分析,CiteSpace      Journal Article                                                      国际地震预测预报研究现状的文献计量分析  2009
437                              杨良斌;周秋菊;金碧辉                                                                                                                                                                    中国科学院国家科学图书馆;中国科学院研究生院;国际关系学院信息科技系;              图书情报工作                                     跨学科研究,学科交叉度,多学科度,文献计量      Journal Article                                                        基于文献计量的跨学科测度及实证研究  2009
438                               贺萍;路文如;骆有庆                                                                                                                                                               北京林业大学林学院;中国科学院植物研究所;中国农业科学院《中国农业科学》编辑部;            北京林业大学学报                                    WebofScience,文献计量,生物入侵      Journal Article                                                               生物入侵文献计量分析  2009
439                           邱均平;杨思洛;王明芝;刘敏                                                                                                                                                                                        武汉大学中国科学评价研究中心;              图书情报知识                                 情报学,文献计量,文献增长规律,词频分析,共词分析      Journal Article                                                    改革开放30年来我国情报学研究论文内容分析  2009
440                                  杨良斌;金碧辉                                                                                                                                                                    中国科学院国家科学图书馆;中国科学院研究生院;国际关系学院信息科技系;                情报杂志                               跨学科学,学科交叉度,共类分析,共词分析,信息转移理论      Journal Article                                                       跨学科研究中学科交叉度的定量分析探讨  2009
441                          姜春林;杜维滨;李江波;刘则渊                                                                                                                                                                                                大连理工大学;                情报杂志                                       文献计量学,可视化,共现分析,引文分析      Journal Article                                                      学术期刊网络结构的文献计量及可视化分析  2009
442                                      黄宝晟                                                                                                                                                                                      国家自然科学基金委员会化学科学部;             研究与发展管理                                              文献计量,基础研究,评价      Journal Article                                                       文献计量法在基础研究评价中的问题分析  2008
443                  郝秀原;游苏宁;沈锡宾;吕相征;汪谋岳;钱寿初                                                                                                                                                                                              中华医学会杂志社;                编辑学报                                            影响因子,期刊评价,文献计量      Journal Article                                                             影响因子的应用现状及展望  2008
444                                  邱均平;赵为华                                                                                                                                                                                        武汉大学中国科学评价研究中心;                情报科学                              期刊同被引,文献计量,聚类分析,社会网络,核心-边缘模型      Journal Article                                                             期刊同被引的实证计量研究  2008
445                              邱均平;苏金燕;熊尊妍                                                                                                                                                                                       武汉大学;武汉大学信息管理学院;             中国图书馆学报  信息资源管理,文献计量,文献增长规律,文献利用情况,文献老化规律,期刊分布规律,作者分布规律,科研实力,研究热点      Journal Article                                                   基于文献计量的国内外信息资源管理研究比较分析  2008
446                                       章华                                                                                                                                                                                                                                                                        足球,科研论文,文献计量学  Dissertation/Thesis                                                1992-2006年我国足球科研论文文献计量学评析  2008
447                                  廖胜姣;肖仙桃                                                                                                                                                                                      中国科学院国家科学图书馆兰州分馆;                情报科学                                         共词,共词分析,文献计量,研究进展      Journal Article                                                          基于文献计量的共词分析研究进展  2008
448                                       杨虹                                                                                                                                                                                                                                                                  知识管理,知识图谱,引文分析,共引分析  Dissertation/Thesis                                                          基于知识图谱的知识管理研究进展  2008
449                                 郑刚;朱凌;陈悦                                                                    浙江大学创新管理与持续竞争力研究哲学社会科学创新基地(NIIM),浙江大学创新管理与持续竞争力研究哲学社会科学创新基地(NIIM),大连理工大学网络-信息-科学-经济计量研究实验室WISE Lab 浙江杭州310027,浙江杭州310027,辽宁大连116023               科学学研究                                      创新地图,科学计量学,创新管理,文献计量      Journal Article                                           中国创新地图——基于文献计量学的我国创新管理研究力量分布研究  2008
450                        朱文沓;史豪杰;王弓;赵俊杰;陈功                                                                                               中国科学技术信息研究所,中国科学技术信息研究所,中国科学技术信息研究所,中国科学技术信息研究所,中国科学技术信息研究所 北京100038,北京100038,北京100038,北京100038,北京100038              中国科技论坛                                      文献计量,SCI,合著分析,中俄科技合作      Journal Article                                                        从SCI合著论文看中俄两国科技合作  2008
451                                    董琳;刘清                                                                                                                                                  中国科学院国家科学图书馆武汉分馆,中国科学院国家科学图书馆武汉分馆 武汉 430071,武汉 430071              图书情报工作                                              学科评价,文献计量,指标      Journal Article                                                            学科评价之文献计量指标分析  2008
452                                   张勤;马费成                                                                                                                                                             武汉大学经济与管理学院,武汉大学信息资源研究中心 武汉430072,武汉430072              管理科学学报                                 共词分析法,范式,知识管理,知识管理范式,文献计量      Journal Article                                                     国外知识管理研究范式——以共词分析为方法  2007
453                                       黎江                                                                                                                                                                                                                                                                     技术机会分析,专利分析,方法框架  Dissertation/Thesis                                                        基于专利文献的技术机会分析方法研究  2008
454                                  王亮亮;彭晓东                                                                                                                                                                重庆大学经济与工商管理学院,重庆大学图书馆 重庆400044,重庆400044               科学学研究                                            管理科学,内容分析,文献计量      Journal Article                                                国内外管理科学学科发展趋势研究——基于内容分析方法  2007
455                              王雪梅;张志强;熊永兰                                                                                                                    中国科学院国家科学图书馆兰州分馆,中国科学院国家科学图书馆兰州分馆,中国科学院国家科学图书馆兰州分馆 甘肃兰州730000,甘肃兰州730000,甘肃兰州730000              地球科学进展                            生态足迹,可持续发展评价,科学引文索引(SCIE),文献计量      Journal Article                                                        国际生态足迹研究态势的文献计量分析  2007
456                              周春雷;王伟军;成江东                                                                                                                                        武汉大学信息资源研究中心,华中师范大学信息管理系,华中师范大学信息管理系 武汉430072,武汉430079,武汉430079              图书情报工作                            CNKI,RefWorks,文献计量,内容分析,个人知识管理      Journal Article                                                        CNKI输出文件在文献计量中的应用  2007
457                                  邱均平;缪雯婷                                                                                                                                                          武汉大学中国科学评价研究中心,武汉大学信息资源研究中心 武汉430072,武汉430072                科学观察                                              指数,文献计量,人才评价      Journal Article                                             h指数在人才评价中的应用——以图书情报学领域中国学者为例  2007
458                                      许见亮                                                                                                                                                                                                                                                            文献计量学,档案专业期刊,核心期刊,分析研究,评价  Dissertation/Thesis                                                  基于文献计量学的我国档案专业核心期刊分析与评价  2007
459                                       于洁                                                                                                                                                                                                                                                  生物能源,发展战略,文献计量学,专利文献研究,重大项目,信息结构化分析  Dissertation/Thesis                                                           国际生物能源发展的情报学研究  2007
460                                       李禾                                                                                                                                                                                                                                                                    岭南,医案,整理,姜桂附,文献计量  Dissertation/Thesis                                          1949年以前岭南医家医案的收集整理及姜桂附应用状况的相关研究  2007
461                                       李蜜                                                                                                                                                                                                                                                                   全民健身计划纲要,社会体育,文献计量  Dissertation/Thesis                                                   1996年以来我国社会体育研究的文献计量评析  2007
462                                  李长玲;翟雪梅                                                                                                                                                      山东理工大学科技信息研究所,山东理工大学科技信息研究所 山东淄博255049,山东淄博255049             情报理论与实践                                     PageRank,引文分析,文献计量,权值      Journal Article                                                      基于PageRank的引文分析方法探讨  2007
463                              万明钢;赵国军;杨俊龙                                                                 教育部人文社会科学重点研究基地西北师范大学西北少数民族教育发展研究中心,教育部人文社会科学重点研究基地西北师范大学西北少数民族教育发展研究中心,教育部人文社会科学重点研究基地西北师范大学西北少数民族教育发展研究中心 兰州730070,兰州730070,兰州730070              心理科学进展                                 中国,少数民族心理,文献计量,2000~2005年      Journal Article                                               我国少数民族心理研究的文献计量分析2000～2005  2007
464                                  史春杨;叶协杰                                                                                                                                                                                              沈阳医学院图书馆;            中国科技期刊研究                               《中国科技期刊研究》,载文,作者,引文,文献计量,分析      Journal Article                                           《中国科技期刊研究》2003～2005年载文、作者及引文分析  2007
465                                  叶协杰;史春杨                                                                                                                                                                沈阳医学院图书馆,沈阳医学院图书馆 辽宁沈阳110034,辽宁沈阳110034                情报科学                                  情报学,核心期刊,引文分析,文献计量,引文数据库      Journal Article                                                        我国9种情报学核心期刊载文被引分析  2007
466                                      耿海英                                                                                                                                                                                                                                                                       共引分析,引文分析,科学结构  Dissertation/Thesis                                                             共引分析方法及其应用研究  2007
467                               刘敬泽;赵秀颖;张燕                                                                                                                               河北师范大学生命科学学院,河北医科大学图书馆,广东外语外贸大学英语教育学院 河北石家庄050016,河北石家庄050017,广东广州510420     河北师范大学学报(教育科学版)                                  双语教学,英语教学,文献计量,研究路向,高等教育      Journal Article                                                        我国高校双语教学研究综述及发展展望  2006
468                                   万明钢;王舟                                                                                                          教育部人文社会科学重点研究基地西北师范大学西北少数民族教育发展研究中心,教育部人文社会科学重点研究基地西北师范大学西北少数民族教育发展研究中心 甘肃兰州730070,甘肃兰州730070       西北师大学报(社会科学版)                                      女童教育,1994—2005年,文献计量      Journal Article                               我国女童教育研究的文献计量分析——以女童教育研究为个案透视我国教育研究存在的普遍问题  2006
469                                      张红芹                                                                                                                                                                                                                                                      开放获取期刊,开放获取期刊质量评价,多元评价指标体系,核心期刊  Dissertation/Thesis                                                         开放获取期刊质量评价指标体系研究  2007
470                                       李宏                                                                                                                                                              中国科学院文献情报中心 北京 100080 中国科学院研究生院 北京 100039              图书情报工作                                   《科学引文索引》,引文分析,科学评价,文献计量      Journal Article                                                         运用SCI有效评价科研成果的方法  2006
471                               叶协杰;蔡丽珠;邸铭                                                                                                                                                           沈阳医学院,沈阳医学院,沈阳医学院 沈阳110034,沈阳110034,沈阳110034                现代情报                                           引文分析,文献计量,全文数据库      Journal Article                                                        我国近年引文分析研究论文的计量分析  2006
472                                      赵丽娟                                                                                                                                                                             中国科学院科技政策与管理科学研究所 北京100080          科学学与科学技术管理                                  基础研究,绩效评估,指标体系,同行评议,文献计量      Journal Article                                                               基础研究绩效评估综述  2005
473                               王曰芬,路菲,吴小雷                                                                                                                                   南京理工大学经济管理学院,南京理工大学经济管理学院,南京理工大学经济管理学院 南京 210094,南京 210094,南京 210094              图书情报工作                                    文献计量,内容分析,比较与综合,文本分析软件      Journal Article                                                        文献计量和内容分析的比较与综合研究  2005
474                                  朱少强,邱均平                                                                                                                                                              武汉大学信息管理学院,武汉大学信息管理学院 武汉 430072,武汉 430072              图书情报工作                                   文献计量,内容分析,隐性知识,形式化,比较研究      Journal Article                                                   文献计量与内容分析——文献群中隐含信息的挖掘  2005
475                                  李广曦,陈蔚文                                                                                                                                                        广州中医药大学脾胃研究所,广州中医药大学脾胃研究所 广东广州510405,广东广州510405                医学信息                                     数据库,中医学,中药学,综述文献,文献计量      Journal Article                                                          中医药类数据库建设的回顾与分析  2005
476                                       熊璐                                                                                                                                                                                                                                                       基本科学指标数据库,ESI,科学评价,文献计量学,引文分析法  Dissertation/Thesis                                                      美国《基本科学指标数据库》的研究与应用  2005
477                                      张宜平                                                                                                                                                                                        河南师范大学 新乡453007                现代情报                                            基金论文,基金资助,文献计量      Journal Article                                                           中国社会科学论文基金资助研究  2005
478                                    杨华,邱菊                                                                                                                                                                  沈阳中国医科大学附属第二医院图书馆,中国医科大学附属第四医院 110004          中华医学科研管理杂志                                      文献计量,被引分析,中华医学科研管理杂志      Journal Article                                                       《中华医学科研管理杂志》被引分析研究  2005
479                                       杨华                                                                                                                                                                             中国医科大学附属第二医院图书馆 辽宁沈阳110004             中华男科学杂志                                         文献计量,被引分析,中华男科学杂志      Journal Article                                                            中华男科学杂志被引分析研究  2005
480                        邱均平,文庭孝,周黎明,张洋,张蕊                                                                      武汉大学中国科学评价研究中心,武汉大学中国科学评价研究中心,武汉大学中国科学评价研究中心,武汉大学中国科学评价研究中心,武汉大学中国科学评价研究中心 湖北武汉430072,湖北武汉430072,湖北武汉430072,湖北武汉430072,湖北武汉430072               图书馆论坛                            内容分析,词频统计分析,文献计量,情报学,比较分析,发展趋势      Journal Article                                                         2003年国内外情报学研究新进展  2004
481                                  蒋业政,覃月秋                                                                                                                                                              武汉大学信息管理学院,武汉大学中南医院 湖北武汉430072,湖北武汉430071          中华医学图书情报杂志                                                亚健康文献,文献计量      Journal Article                                                 我国1994-2003年亚健康研究文献的统计分析  2004
482                                       路菲                                                                                                                                                                                                                                               内容分析法,文献计量法,比较研究,综合研究,文本内容分析软件,Lotka软件  Dissertation/Thesis                                                        内容分析与文献计量的比较与综合研究  2004
483                                      严贝妮                                                                                                                                                                                         中山大学 广州 510275              图书情报工作                                         信息资源管理,文献计量,图书情报学      Journal Article                                             1989—2002年我国信息资源管理领域研究论文计量分析  2004
484                                       邹菲                                                                                                                                                                                                                                                                内容分析,理论,实践,文献计量学,信息管理  Dissertation/Thesis                                                            内容分析法的理论与实践研究  2004
